sampleID	lat	lon	depth
tara_S0068	-29.5333	37.9117	65
tara_S0069	-29.5333	37.9117	65
tara_S0070	-29.5333	37.9117	65
tara_S0071	-29.5019	37.9889	5
tara_S0072	-29.5019	37.9889	5
tara_S0073	-29.5019	37.9889	5
tara_S0074	-35.2421	26.3048	30
tara_S0075	-35.2421	26.3048	30
tara_S0076	-35.2421	26.3048	30
tara_S0077	-35.1728	26.2868	5
tara_S0078	-35.1728	26.2868	5
tara_S0079	-34.8901	18.0459	30
tara_S0080	-34.8901	18.0459	30
tara_S0081	-34.9449	17.9189	5
tara_S0082	-34.9449	17.9189	5
tara_S0083	-34.9449	17.9189	5
tara_S0084	-32.2401	17.7103	5
tara_S0085	-32.2401	17.7103	5
tara_S0086	-31.027	4.6802	50
tara_S0087	-31.027	4.6802	50
tara_S0088	-31.027	4.6802	50
tara_S0089	-31.0266	4.665	5
tara_S0090	-31.0266	4.665	5
tara_S0091	-31.0266	4.665	5
tara_S0092	-20.4091	-3.1759	5
tara_S0093	-20.4091	-3.1759	5
tara_S0094	-8.7296	-17.9604	100
tara_S0095	-8.7296	-17.9604	100
tara_S0096	-8.7789	-17.9099	5
tara_S0097	-8.7789	-17.9099	5
tara_S0098	-21.0292	-35.3498	150
tara_S0099	-21.0292	-35.3498	150
tara_S0100	-20.9354	-35.1803	5
tara_S0101	-20.9354	-35.1803	5
tara_S0102	-30.1484	-43.2705	120
tara_S0103	-30.1484	-43.2705	120
tara_S0104	-30.1367	-43.2899	5
tara_S0105	-30.1367	-43.2899	5
tara_S0106	-47.2007	-57.9446	40
tara_S0107	-47.2007	-57.9446	40
tara_S0108	-47.1863	-58.2902	5
tara_S0109	-47.1863	-58.2902	5
tara_S0110	-60.2287	-60.6476	5
tara_S0111	-60.2287	-60.6476	5
tara_S0112	-62.2231	-49.2139	89
tara_S0113	-62.2231	-49.2139	89
tara_S0114	-62.0385	-49.529	5
tara_S0115	-62.0385	-49.529	5
tara_S0116	-33.9116	-73.0537	35
tara_S0117	-34.0614	-73.1066	5
tara_S0118	-32.7971	-87.0693	5
tara_S0119	-29.7238	-101.1604	5
tara_S0120	-25.826	-111.7294	187.5
tara_S0121	-25.826	-111.7294	187.5
tara_S0122	-25.8051	-111.7202	5
tara_S0123	-25.8051	-111.7202	5
tara_S0124	-21.146	-104.787	5
tara_S0125	-12.9723	-96.0122	50
tara_S0126	-12.9723	-96.0122	50
tara_S0127	-12.9794	-96.0232	177
tara_S0128	-12.9794	-96.0232	177
tara_S0129	-12.9794	-96.0232	177
tara_S0130	-13.0023	-95.9759	5
tara_S0131	-13.0023	-95.9759	5
tara_S0132	-13.0023	-95.9759	5
tara_S0133	-5.2669	-85.2732	40
tara_S0134	-5.2669	-85.2732	40
tara_S0135	-5.2669	-85.2732	40
tara_S0136	-5.2529	-85.1545	5
tara_S0137	-5.2529	-85.1545	5
tara_S0138	2.0299	-84.5546	30
tara_S0139	2.0299	-84.5546	30
tara_S0140	2.0299	-84.5546	30
tara_S0141	1.9928	-84.5766	5
tara_S0142	1.9928	-84.5766	5
tara_S0143	-1.9002	-84.6265	50
tara_S0144	-2.0133	-84.589	5
tara_S0145	-16.9587	-100.6751	90.5
tara_S0146	-16.9601	-100.6335	5
tara_S0147	-23.2189	-129.4997	155.5
tara_S0148	-23.2811	-129.3947	5
tara_S0149	-9.0063	-139.1394	115
tara_S0150	-8.9971	-139.1963	5
tara_S0151	-8.9109	-140.2845	150
tara_S0152	-8.9109	-140.2845	150
tara_S0153	-8.9109	-140.2845	150
tara_S0154	-8.9109	-140.2845	150
tara_S0155	-8.9068	-140.283	5
tara_S0156	-9.0714	-140.5973	120
tara_S0157	-9.0714	-140.5973	120
tara_S0158	-9.0714	-140.5973	120
tara_S0159	-9.0714	-140.5973	120
tara_S0160	-9.1504	-140.5216	5
tara_S0161	-9.1504	-140.5216	5
tara_S0162	-9.1504	-140.5216	5
tara_S0163	-9.1504	-140.5216	5
tara_S0164	-8.8999	-142.5461	140
tara_S0165	-8.9111	-142.5571	5
tara_S0166	-8.9111	-142.5571	5
tara_S0167	-8.9111	-142.5571	5
tara_S0168	-8.9111	-142.5571	5
tara_S0169	0.0222	-153.6858	40
