sample	metagenome	unclassified	reads_total	bacteria	archaea	eukaryotes	viruses	pro_all	pro_HL	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_HLVI	pro_LL	pro_LLI	pro_LLII_LLIII	pro_LLII	pro_LLIII	pro_LLIV	pro_LLVII	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pro_LL_MIT1223	pel_all	pel_Ia	pel_Ia_BALTIC	pel_Ia_HIMB5	pel_Ia_1	pel_Ia_3	pel_Ia_3a	pel_Ia_3b	pel_Ib	pel_Ib_1	pel_Ib_2	pel_Ib_3	pel_Ic	pel_IIa	pel_IIa_1	pel_IIa_2	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	pel_Va	pel_Vb
S0182	simons	8618767	17804182	8300360	299949	113078	367966	2284159	2219631	1090041	700351	30869	25381	33254	16331	3411	2346	964	6264	4753	864	506	2128	386	433	54	397	2031560	829713	7407	7454	16779	755778	328984	382094	462922	260538	22409	135944	6784	216659	179227	34619	13413	8324	1503	151581	217922	85660	132093
S0183	simons	10518969	15580371	4142666	764766	79189	28343	68142	17949	2333	11841	354	535	49621	23679	5122	4394	578	11053	8193	3190	1381	1359	732	566	92	254	813142	219424	4161	3531	13720	186323	70053	105772	201683	93289	34317	21803	57117	96503	75687	19214	101959	4076	1405	8755	56270	4675	51512
S0184	simons	7856951	19399333	10848536	313596	108639	183549	3344986	3280515	66200	2486971	12074	20488	18134	5107	3002	2246	644	3261	4395	879	574	1804	410	302	43	413	3138687	944189	5848	7317	12662	875920	540036	290927	961201	600262	19298	285604	6481	477097	449174	23135	9549	25860	1869	85657	449044	188795	259871
S0185	simons	10197289	19499341	8174978	373059	125506	503011	2485067	2423032	176940	1673642	41990	41266	26859	6915	4218	2771	1293	7963	5497	1033	602	2210	508	504	49	434	2219275	734949	7601	8360	19207	664395	345861	280914	628336	327723	47872	178135	11466	426271	280035	138382	19801	13738	2002	87848	151308	61020	90167
S0186	simons	11724740	22312755	8939200	1335740	161578	60117	346168	21338	2665	11959	2706	2435	321453	71101	53579	42668	9269	30823	148528	53321	27490	24243	14875	8294	1853	4508	1793753	381350	8453	8135	26873	319499	161260	142184	562182	245897	120264	67629	73014	292945	185592	101404	194396	9385	3127	6663	112669	5697	106782
S0187	simons	13916408	29149988	14293847	518685	153887	146626	3808874	3733559	77077	2815137	11112	20683	20190	5448	3309	2545	635	3429	4689	959	608	1945	431	272	85	877	4090739	1239804	7416	9501	16418	1148883	737955	352214	1347388	842582	23314	403170	7772	534732	507423	21693	10887	36967	2150	159570	509743	208571	300672
S0188	simons	13569593	27852501	13035608	548236	140909	409137	4578199	4483624	261104	3230562	26435	44868	31905	8510	5137	3612	1298	7557	7159	1280	882	2913	709	627	77	610	2700528	877606	7240	7832	15522	805992	406812	354624	761419	484472	29623	186509	8125	350453	286702	58863	17012	21816	1992	175950	330688	115507	214909
S0189	simons	12235884	20810464	7080880	1052404	186997	156267	470181	38700	3239	19150	3182	11116	427102	86681	108765	91699	14185	52591	157698	58064	27689	26102	15690	9277	1820	5226	1373318	305349	6746	6697	21500	255617	123003	119317	458728	200069	98693	52137	56413	172742	116509	52628	155032	7137	2241	8053	86022	4156	81744
S0190	simons	8758123	19758687	10535540	224999	89348	76752	2587937	2534154	44387	1941106	5816	13620	17641	3935	2343	1764	485	2455	3651	715	435	1503	349	286	36	3564	3482878	1023589	6352	8479	13962	949108	625282	276707	1134136	717000	21649	324948	6543	380340	361876	14694	9951	29595	1813	150589	554324	230755	323057
S0191	simons	8946105	18119304	8902254	109309	93445	22796	2369410	2326900	45562	1802021	3268	13323	12434	4609	2001	1506	399	1172	3003	559	431	1189	332	192	45	279	2916087	810711	5787	7661	12500	749497	462070	250679	1021501	729599	20311	217776	5671	236890	222853	11930	7727	18560	1373	105836	559148	229942	328805
